MonthYear,Station,Entry_Exit,Trip
2016-07,Wiley Park Station,Exit,36610
2016-07,Windsor Station,Entry,18060
2016-07,Windsor Station,Exit,17070
2016-07,Wingello Station,Entry,80
2016-07,Wingello Station,Exit,70
2016-07,Wirragulla Station,Entry,Less than 50
2016-07,Wirragulla Station,Exit,Less than 50
2016-07,Wolli Creek Station,Entry,152010
2016-07,Wolli Creek Station,Exit,149130
2016-07,Wollongong Station,Entry,44680
2016-07,Wollongong Station,Exit,43860
2016-07,Wollstonecraft Station,Entry,63540
2016-07,Wollstonecraft Station,Exit,55830
2016-07,Wombarra Station,Entry,670
2016-07,Wombarra Station,Exit,600
2016-07,Wondabyne Station,Entry,410
2016-07,Wondabyne Station,Exit,460
2016-07,Woodford Station,Entry,2480
2016-07,Woodford Station,Exit,2400
2016-07,Woolooware Station,Entry,25180
2016-07,Woolooware Station,Exit,23050
2016-07,Woonona Station,Entry,3120
2016-07,Woonona Station,Exit,2580
2016-07,Woy Woy Station,Entry,104340
2016-07,Woy Woy Station,Exit,105910
2016-07,Wyee Station,Entry,5120
2016-07,Wyee Station,Exit,4530
2016-07,Wynyard Station,Entry,1624680
2016-07,Wynyard Station,Exit,1746660
2016-07,Wyong Station,Entry,30900
2016-07,Wyong Station,Exit,29590
2016-07,Yagoona Station,Entry,37150
2016-07,Yagoona Station,Exit,31680
2016-07,Yennora Station,Entry,19990
2016-07,Yennora Station,Exit,19590
2016-07,Yerrinbool Station,Entry,570
2016-07,Yerrinbool Station,Exit,500
2016-07,Zig Zag Station,Entry,Less than 50
2016-07,Zig Zag Station,Exit,Less than 50
2016-08,Aberdeen Station,Entry,Less than 50
2016-08,Aberdeen Station,Exit,Less than 50
2016-08,Adamstown Station,Entry,1560
2016-08,Adamstown Station,Exit,1490
2016-08,Albion Park Station,Entry,6720
2016-08,Albion Park Station,Exit,5730
2016-08,Allawah Station,Entry,74430
2016-08,Allawah Station,Exit,66680
2016-08,Arncliffe Station,Entry,62060
2016-08,Arncliffe Station,Exit,55850
2016-08,Artarmon Station,Entry,169000
2016-08,Artarmon Station,Exit,158160
2016-08,Ashfield Station,Entry,354970
2016-08,Ashfield Station,Exit,346580
2016-08,Asquith Station,Entry,32650
2016-08,Asquith Station,Exit,27920
2016-08,Auburn Station,Entry,331970
2016-08,Auburn Station,Exit,325630
2016-08,Austinmer Station,Entry,4040
2016-08,Austinmer Station,Exit,3790
2016-08,Awaba Station,Entry,590
2016-08,Awaba Station,Exit,460
2016-08,Banksia Station,Entry,45080
2016-08,Banksia Station,Exit,41290
2016-08,Bankstown Station,Entry,229250
2016-08,Bankstown Station,Exit,238040
2016-08,Bardwell Park Station,Entry,31230
2016-08,Bardwell Park Station,Exit,28410
2016-08,Bargo Station,Entry,1740
2016-08,Bargo Station,Exit,1600
2016-08,Bathurst Station,Entry,2290
2016-08,Bathurst Station,Exit,1520
2016-08,Beecroft Station,Entry,52360
2016-08,Beecroft Station,Exit,49460
2016-08,Bell Station,Entry,Less than 50
2016-08,Bell Station,Exit,Less than 50
2016-08,Bellambi Station,Entry,3100
2016-08,Bellambi Station,Exit,2810
2016-08,Belmore Station,Entry,74470
2016-08,Belmore Station,Exit,69870
2016-08,Berala Station,Entry,50140
2016-08,Berala Station,Exit,47710
2016-08,Beresfield Station,Entry,4130
2016-08,Beresfield Station,Exit,3590
2016-08,Berowra Station,Entry,38500
2016-08,Berowra Station,Exit,35860
2016-08,Berry Station,Entry,2160
2016-08,Berry Station,Exit,2060
2016-08,Beverly Hills Station,Entry,60340
2016-08,Beverly Hills Station,Exit,55450
2016-08,Bexley North Station,Entry,30990
2016-08,Bexley North Station,Exit,28290
2016-08,Birrong Station,Entry,28110
2016-08,Birrong Station,Exit,25230
2016-08,Blackheath Station,Entry,6630
2016-08,Blackheath Station,Exit,5930
2016-08,Blacktown Station,Entry,440400
2016-08,Blacktown Station,Exit,458020
2016-08,Blaxland Station,Entry,17900
2016-08,Blaxland Station,Exit,16770
2016-08,Bomaderry Station,Entry,9990
2016-08,Bomaderry Station,Exit,8510
2016-08,Bombo Station,Entry,630
2016-08,Bombo Station,Exit,480
2016-08,Bondi Junction Station,Entry,697220
2016-08,Bondi Junction Station,Exit,690510
2016-08,Booragul Station,Entry,1150
2016-08,Booragul Station,Exit,1170
2016-08,Bowral Station,Entry,6500
2016-08,Bowral Station,Exit,5330
2016-08,Branxton Station,Entry,Less than 50
2016-08,Branxton Station,Exit,Less than 50
2016-08,Broadmeadow Station,Entry,34880
2016-08,Broadmeadow Station,Exit,33290
2016-08,Bullaburra Station,Entry,2020
2016-08,Bullaburra Station,Exit,1810
